------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                                      Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                                          cudaLaunchKernel        66.93%        3.476s        66.96%        3.478s       6.440us       0.000us         0.00%       0.000us       0.000us        540000  
void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl<at::native::dir...         0.00%       0.000us         0.00%       0.000us       0.000us        1.655s         7.49%        1.655s      16.554us        100000  
                                                                                  cudaFree         9.68%     502.970ms         9.69%     502.995ms     167.665ms       0.000us         0.00%       0.000us       0.000us             3  
                                                                            cudaEventQuery         5.82%     302.403ms         5.82%     302.427ms       0.393us       0.000us         0.00%       0.000us       0.000us        769267  
                                                                    cudaDeviceGetAttribute         0.00%       3.000us         0.00%       3.000us       0.176us       0.000us         0.00%       0.000us       0.000us            17  
                                                                      cudaGetSymbolAddress         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us             1  
                                                                                cudaMalloc         1.29%      67.186ms         1.29%      67.188ms     839.850us       0.000us         0.00%       0.000us       0.000us            80  
                                                                    sgemm_128x128x8_NT_vec         0.00%       0.000us         0.00%       0.000us       0.000us        1.068s         4.83%        1.068s      53.389us         20000  
void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::MeanOps<...         0.00%       0.000us         0.00%       0.000us       0.000us     552.850ms         2.50%     552.850ms      27.642us         20000  
                                                                     cudaStreamIsCapturing         0.07%       3.600ms         0.07%       3.600ms       0.060us       0.000us         0.00%       0.000us       0.000us         60029  
                                                       cudaThreadExchangeStreamCaptureMode         0.00%      94.000us         0.00%      94.000us       0.783us       0.000us         0.00%       0.000us       0.000us           120  
                                                                             cudaHostAlloc         0.32%      16.861ms         0.33%      16.893ms       5.631ms       0.000us         0.00%       0.000us       0.000us             3  
                                                                 cudaStreamCreateWithFlags         0.03%       1.440ms         0.03%       1.440ms      40.000us       0.000us         0.00%       0.000us       0.000us            36  
                                                                     cudaDeviceGetPCIBusId         0.00%      93.000us         0.00%      93.000us       0.331us       0.000us         0.00%       0.000us       0.000us           281  
                                                                      cudaDriverGetVersion         0.00%       1.000us         0.00%       1.000us       1.000us       0.000us         0.00%       0.000us       0.000us             1  
                                                                        cudaGetDeviceCount         0.00%       2.000us         0.00%       2.000us       0.019us       0.000us         0.00%       0.000us       0.000us           108  
                                                                   cudaDeviceCanAccessPeer         0.00%      10.000us         0.00%      10.000us       0.185us       0.000us         0.00%       0.000us       0.000us            54  
                                                                           cudaMemsetAsync         0.02%       1.145ms         0.02%       1.156ms      24.083us       0.000us         0.00%       0.000us       0.000us            48  
