W1_N2048_D64_H4_B16,0.5795,0.1171,0.2777,0.0921,0.1795,0.2509,0.0799,1.5768,0.0117,0.0795,0.0123,1.6803
W2_N2048_D64_H4_B16,0.5653,0.1055,0.1723,0.0805,0.1502,0.1657,0.0668,1.3063,0.2071,0.1705,1.1210,2.8049
W4_N2048_D64_H4_B16,0.5138,0.0958,0.1083,0.0788,0.1536,0.1259,0.0620,1.1381,0.3056,0.1882,1.9494,3.5813
W1_N1024_D64_H4_B16,0.5069,0.0891,0.1680,0.0713,0.1271,0.1585,0.0635,1.1844,0.0121,0.0787,0.0125,1.2877
W2_N1024_D64_H4_B16,0.5095,0.1003,0.1120,0.0829,0.1656,0.1361,0.0657,1.1721,0.1907,0.1973,0.5397,2.0997
W4_N1024_D64_H4_B16,0.5028,0.0870,0.0911,0.0576,0.1579,0.1180,0.0622,1.0767,0.3486,0.2005,1.0417,2.6674
W1_N512_D64_H4_B16,0.4813,0.0786,0.0993,0.0700,0.1224,0.1151,0.0525,1.0192,0.0117,0.0784,0.0124,1.1216
W2_N512_D64_H4_B16,0.5092,0.0829,0.0938,0.0550,0.1642,0.1236,0.0700,1.0986,0.1945,0.1786,0.3122,1.7840
W4_N512_D64_H4_B16,0.5079,0.0742,0.0837,0.0429,0.1470,0.1097,0.0542,1.0197,0.3095,0.1785,0.5131,2.0208
W1_N256_D64_H4_B16,0.4700,0.0645,0.0772,0.0517,0.1242,0.0993,0.0512,0.9381,0.0117,0.0794,0.0121,1.0412
W2_N256_D64_H4_B16,0.4744,0.0763,0.0831,0.0425,0.1455,0.1066,0.0549,0.9832,0.1905,0.1818,0.2999,1.6554
W4_N256_D64_H4_B16,0.5327,0.0753,0.0872,0.0424,0.1459,0.1094,0.0558,1.0487,0.2303,0.1772,0.3006,1.7567
W1_N2048_D64_H4_B16,0.5674,0.1160,0.2763,0.0919,0.1783,0.2486,0.0798,1.5584,0.0119,0.0822,0.0125,1.6649
W2_N4096_D64_H4_B16,0.6024,0.1385,0.2835,0.0995,0.1894,0.2561,0.0842,1.6536,0.1953,0.1680,2.0396,4.0565
W4_N8192_D64_H4_B16,0.6646,0.1388,0.2866,0.1030,0.1932,0.2588,0.0893,1.7343,0.3083,0.2040,7.8671,10.1138
W1_N1024_D64_H4_B16,0.5000,0.0881,0.1631,0.0710,0.1246,0.1570,0.0627,1.1665,0.0119,0.0777,0.0125,1.2686
W2_N2048_D64_H4_B16,0.5200,0.1109,0.1788,0.0839,0.1753,0.1823,0.0753,1.3264,0.1951,0.1905,1.0655,2.7774
W4_N4096_D64_H4_B16,0.5936,0.1147,0.1751,0.0869,0.1630,0.1752,0.0760,1.3845,0.3097,0.1902,3.8738,5.7582
W1_N512_D64_H4_B16,0.4676,0.0794,0.0994,0.0705,0.1233,0.1157,0.0537,1.0096,0.0117,0.0770,0.0164,1.1147
W2_N1024_D64_H4_B16,0.5230,0.0904,0.1048,0.0774,0.1455,0.1222,0.0556,1.1190,0.1843,0.1733,0.5433,2.0199
W4_N2048_D64_H4_B16,0.5404,0.0938,0.1070,0.0796,0.1499,0.1256,0.0584,1.1547,0.2905,0.2005,1.9559,3.6016
W1_N256_D64_H4_B16,0.4511,0.0643,0.0727,0.0486,0.1234,0.0977,0.0505,0.9083,0.0116,0.0786,0.0123,1.0107
W2_N512_D64_H4_B16,0.4756,0.0756,0.0817,0.0535,0.1433,0.1058,0.0540,0.9894,0.1835,0.1750,0.4134,1.7613
W4_N1024_D64_H4_B16,0.5426,0.0785,0.0848,0.0567,0.1456,0.1124,0.0553,1.0760,0.2557,0.1815,0.9488,2.4619
W2_N8192_D64_H4_B16,0.7594,0.1839,0.5208,0.1391,0.3181,0.4374,0.1204,2.4791,0.1905,0.1656,4.0561,6.8912
